data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6217855,120,CAO2599,2599,2019-10-25,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Meme,Kumba 3,Malende,4.5991,9.4922,1,Mimi Mefo,New media,"On October 25, 2019, Military Forces reportedly killed one civilian in Malende.",1,1572313134,CMR
6217828,120,CAO2594,2594,2019-10-25,2019,1,Battles,Armed clash,Military Forces of Cameroon (1982-),,1,Ambazonian Separatists (Cameroon),,2,12,Middle Africa,Cameroon,Nord-Ouest,Bui,Jakiri,Jakiri,6.1000,10.6500,2,Mimi Mefo,New media,"On October 25, 2019, the Military Forces reportedly killed two Ambazonian Separatists in Sop, Jakiri district. Sop location unfound [coded at geoprecision 2].",2,1572313134,CMR
6217849,120,CAO2600,2600,2019-10-25,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Sud-Ouest,Meme,Kumba 3,Mbalangi,4.5010,9.4632,1,Mimi Mefo,New media,"On October 25, 2019, military forces reportedly killed one civilian in Mbalangi.",1,1572313134,CMR
6217843,120,CAO2595,2595,2019-10-25,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Nord-Ouest,Bui,Jakiri,Jakiri,6.1000,10.6500,2,Mimi Mefo,New media,"On October 25, 2019, the military forces reportedly attacked one person in Wainkar [unfound location within Jakiri district, coded: Jakiri at geoprecision 2].It was not specified if the the person attacked was actually killed.",0,1572313134,CMR
6218223,120,CAO2598,2598,2019-10-24,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Cameroon),,3,Civilians (Cameroon),,7,37,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mora,Mora,11.0485,14.1476,2,Sembe TV,New media,"On October 24, 2019, unidentified armed men attacked the village of Ganai [unfound location within Mora, coded: Mora at geoprecision 2]. They took food and goods. No fatalities were reported.",0,1572313162,CMR
6217647,120,CAO2596,2596,2019-10-24,2019,1,Battles,Armed clash,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Military Forces of Cameroon (1982-),,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Tsanaga,Mora,Ridoua,10.9747,13.7623,2,L'Oeil,New media,"On October 24, 2019, Boko Haram killed one Cameroonian soldier in an ambush on the road from Ridoua to Goshi [coded: Ridoua at geoprecision 2].",1,1572313116,CMR
6218217,120,CAO2597,2597,2019-10-24,2019,1,Strategic developments,Arrests,Military Forces of Cameroon (1982-),,1,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,2,Sembe TV,New media,"On October 24, 2019, the Military Forces arrested 5 members of Boko Haram in Grea IDP camp near Kolofata [unfound location].",0,1572313159,CMR
6217861,120,CAO2591,2591,2019-10-22,2019,1,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,1,Civilians (Cameroon),,7,17,Middle Africa,Cameroon,Nord-Ouest,Mezam,Bamenda 2,Bamenda,5.9333,10.1667,2,Mimi Mefo,New media,"On October 22, 2019, military forces raided the village of Ntanhah in the Nord-Ouest [unfound location, coded: Bamenda, capital city of the Nord-Ouest region at geoprecision 2]. They reportedly killed one civilian.",1,1572313135,CMR
6216352,120,CAO2593,2593,2019-10-21,2019,2,Battles,Armed clash,Military Forces of Cameroon (1982-),,1,Ambazonian Separatists (Cameroon),,2,12,Middle Africa,Cameroon,Sud-Ouest,Lebialem,Menji,Menji,5.7131,10.0650,2,All Africa,Regional,"Between October 20-22, 2019 [coded: October 21, 2019] Military Forces raided Ambazonian Separatists' camps in Lebialem district [location coded: Menji, capital city of Lebialem district], in an attempt to capture Lekeahka Oliver who proclaimed himself king of Lebialem. 6 Ambazonian Separatists were killed.",6,1572312999,CMR
